Invoice,StockCode,Description,Quantity,InvoiceDate,Price,CustomerID,Country
536024,22633,HAND WARMER UNION JACK,2,2026-01-02 13:36:00,4.19,15299,Spain
536025,85123A,WHITE HANGING HEART T-LIGHT HOLDER,36,2026-01-03 22:15:00,8.81,17770,UK
536026,71053,WHITE METAL LANTERN,30,2026-01-04 15:32:00,8.87,14136,Germany
536027,84406B,CREAM CUPID HEARTS COAT HANGER,47,2026-01-19 04:34:00,4.29,12176,France
536028,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,47,2026-01-11 03:14:00,9.69,16785,Italy
536029,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,29,2026-01-17 01:06:00,6.47,17091,Spain
536030,84406B,CREAM CUPID HEARTS COAT HANGER,15,2026-01-04 10:45:00,3.0,17047,Spain
536031,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2026-01-13 11:18:00,6.96,17654,UK
536032,71053,WHITE METAL LANTERN,34,2026-01-17 02:28:00,8.1,16714,Spain
536033,85123A,WHITE HANGING HEART T-LIGHT HOLDER,36,2026-01-20 12:41:00,8.15,17983,Italy
536034,84406B,CREAM CUPID HEARTS COAT HANGER,22,2026-01-07 00:42:00,9.42,12219,Italy
536035,85123A,WHITE HANGING HEART T-LIGHT HOLDER,46,2026-01-02 04:40:00,1.06,15803,Germany
536036,71053,WHITE METAL LANTERN,36,2026-01-08 23:06:00,3.14,17886,Italy
536037,22633,HAND WARMER UNION JACK,14,2026-01-17 07:51:00,2.63,13793,UK
536038,22633,HAND WARMER UNION JACK,10,2026-01-10 18:09:00,1.24,13753,France
536039,84406B,CREAM CUPID HEARTS COAT HANGER,6,2026-01-19 22:02:00,3.25,15446,UK
536040,71053,WHITE METAL LANTERN,27,2026-01-13 00:05:00,6.3,15546,Spain
536041,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,23,2026-01-10 00:08:00,8.08,12860,France
536042,71053,WHITE METAL LANTERN,21,2026-01-17 18:18:00,9.6,13984,France
536043,85123A,WHITE HANGING HEART T-LIGHT HOLDER,22,2026-01-25 01:00:00,2.68,16584,Spain
536044,85123A,WHITE HANGING HEART T-LIGHT HOLDER,25,2026-01-19 15:12:00,6.34,15239,Spain
536045,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,8,2026-01-14 21:13:00,8.06,17139,Germany
536046,71053,WHITE METAL LANTERN,3,2026-01-18 13:59:00,1.97,12403,Germany
536047,22633,HAND WARMER UNION JACK,17,2026-01-21 19:52:00,3.5,15133,Spain
536048,84406B,CREAM CUPID HEARTS COAT HANGER,17,2026-01-02 13:39:00,6.28,14763,Italy
536049,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,32,2026-01-18 09:26:00,1.57,13000,France
536050,71053,WHITE METAL LANTERN,35,2026-01-07 22:08:00,6.49,15009,France
536051,71053,WHITE METAL LANTERN,28,2026-01-07 09:20:00,6.79,12754,France
536052,22633,HAND WARMER UNION JACK,30,2026-01-09 20:06:00,5.06,15508,UK
536053,85123A,WHITE HANGING HEART T-LIGHT HOLDER,25,2026-01-13 11:00:00,9.98,16552,Spain
536054,71053,WHITE METAL LANTERN,32,2026-01-01 10:26:00,3.0,13596,UK
536055,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,40,2026-01-07 00:25:00,3.21,12164,Italy
536056,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,13,2026-01-11 19:50:00,5.19,17777,Italy
536057,71053,WHITE METAL LANTERN,40,2026-01-17 06:52:00,5.46,15566,Germany
536058,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,32,2026-01-26 00:58:00,6.15,12431,Germany
536059,84406B,CREAM CUPID HEARTS COAT HANGER,18,2026-01-13 02:26:00,3.66,14630,Spain
536060,85123A,WHITE HANGING HEART T-LIGHT HOLDER,50,2026-01-10 08:11:00,5.66,12944,Germany
536061,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2026-01-25 14:14:00,6.96,16856,Spain
536062,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,15,2026-01-08 21:42:00,6.47,17303,UK
536063,22633,HAND WARMER UNION JACK,29,2026-01-18 22:03:00,1.42,16613,UK
536064,84406B,CREAM CUPID HEARTS COAT HANGER,27,2026-01-22 06:36:00,5.19,13853,Germany
536065,84406B,CREAM CUPID HEARTS COAT HANGER,34,2026-01-20 23:38:00,7.23,17924,Italy
536066,85123A,WHITE HANGING HEART T-LIGHT HOLDER,11,2026-01-13 18:46:00,2.73,15800,Italy
536067,22633,HAND WARMER UNION JACK,45,2026-01-07 07:52:00,6.17,16397,Spain
536068,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,2026-01-02 14:35:00,4.24,14202,UK
536069,22633,HAND WARMER UNION JACK,49,2026-01-18 14:08:00,9.64,12155,France
536070,84406B,CREAM CUPID HEARTS COAT HANGER,3,2026-01-22 03:51:00,5.45,13377,Italy
536071,84406B,CREAM CUPID HEARTS COAT HANGER,2,2026-01-15 10:50:00,7.9,16256,France
536072,22633,HAND WARMER UNION JACK,50,2026-01-15 16:30:00,3.19,17077,Italy
536073,22633,HAND WARMER UNION JACK,7,2026-01-19 06:44:00,9.49,16968,Spain
536074,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2026-01-22 09:59:00,1.42,13174,France
536075,84406B,CREAM CUPID HEARTS COAT HANGER,18,2026-01-17 06:41:00,3.23,16148,Germany
536076,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2026-01-09 15:38:00,1.41,13923,UK
536077,22633,HAND WARMER UNION JACK,10,2026-01-14 05:48:00,2.04,14726,Italy
536078,22633,HAND WARMER UNION JACK,3,2026-01-12 12:29:00,6.79,16432,Germany
536079,71053,WHITE METAL LANTERN,38,2026-01-06 04:45:00,5.2,12526,Spain
536080,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,2026-01-16 21:12:00,8.52,12659,Italy
536081,71053,WHITE METAL LANTERN,2,2026-01-24 05:51:00,6.23,17258,France
536082,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,28,2026-01-22 23:21:00,9.94,12148,France
536083,22633,HAND WARMER UNION JACK,39,2026-01-03 20:49:00,7.12,14237,France
536084,22633,HAND WARMER UNION JACK,48,2026-01-12 22:30:00,9.64,14430,UK
536085,22633,HAND WARMER UNION JACK,29,2026-01-03 16:40:00,8.99,12004,Spain
536086,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,9,2026-01-06 16:08:00,3.58,17643,UK
536087,22633,HAND WARMER UNION JACK,8,2026-01-12 23:02:00,5.79,16414,France
536088,85123A,WHITE HANGING HEART T-LIGHT HOLDER,33,2026-01-12 15:20:00,7.51,13699,Germany
536089,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,2026-01-25 02:59:00,1.2,16675,Italy
536090,71053,WHITE METAL LANTERN,4,2026-01-12 23:41:00,9.65,12854,Italy
536091,71053,WHITE METAL LANTERN,10,2026-01-08 06:31:00,3.54,12504,Spain
536092,84406B,CREAM CUPID HEARTS COAT HANGER,43,2026-01-16 09:04:00,4.51,14727,UK
536093,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,9,2026-01-12 16:39:00,2.39,12674,Spain
536094,71053,WHITE METAL LANTERN,47,2026-01-09 15:37:00,8.87,14746,Germany
536095,84406B,CREAM CUPID HEARTS COAT HANGER,48,2026-01-15 09:55:00,1.46,13108,Germany
536096,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,38,2026-01-16 14:37:00,7.64,17684,Italy
536097,84406B,CREAM CUPID HEARTS COAT HANGER,16,2026-01-16 22:12:00,2.21,12289,Italy
536098,71053,WHITE METAL LANTERN,38,2026-01-03 22:55:00,8.74,17862,Spain
536099,71053,WHITE METAL LANTERN,2,2026-01-10 12:55:00,5.09,14724,Germany
536100,71053,WHITE METAL LANTERN,43,2026-01-09 21:59:00,9.37,16775,Germany
536101,84406B,CREAM CUPID HEARTS COAT HANGER,14,2026-01-06 23:01:00,8.68,17954,France
536102,71053,WHITE METAL LANTERN,5,2026-01-13 03:09:00,6.55,12582,Spain
536103,71053,WHITE METAL LANTERN,35,2026-01-15 15:53:00,1.41,17118,Germany
536104,22633,HAND WARMER UNION JACK,9,2026-01-23 03:07:00,2.69,16636,Germany
536105,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,10,2026-01-15 16:47:00,8.45,12089,Italy
536106,85123A,WHITE HANGING HEART T-LIGHT HOLDER,42,2026-01-11 21:04:00,5.67,15936,France
536107,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2026-01-06 16:09:00,1.46,15169,Italy
536108,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2026-01-25 19:11:00,9.94,17742,France
536109,84406B,CREAM CUPID HEARTS COAT HANGER,34,2026-01-13 05:10:00,3.94,14543,Italy
536110,84406B,CREAM CUPID HEARTS COAT HANGER,21,2026-01-24 23:24:00,6.97,12673,Germany
536111,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,2026-01-15 08:18:00,6.79,15797,Spain
536112,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,41,2026-01-02 12:17:00,7.67,15939,UK
536113,22633,HAND WARMER UNION JACK,18,2026-01-20 04:07:00,9.33,16459,France
536114,22633,HAND WARMER UNION JACK,18,2026-01-10 13:59:00,5.26,12555,Italy
536115,84406B,CREAM CUPID HEARTS COAT HANGER,14,2026-01-04 11:15:00,1.55,12244,France
536116,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,31,2026-01-17 12:02:00,3.18,15174,France
536117,71053,WHITE METAL LANTERN,34,2026-01-03 10:33:00,1.05,14433,Italy
536118,84406B,CREAM CUPID HEARTS COAT HANGER,29,2026-01-22 06:57:00,9.62,16165,Germany
536119,84406B,CREAM CUPID HEARTS COAT HANGER,38,2026-01-09 18:55:00,1.93,16278,Italy
536120,22633,HAND WARMER UNION JACK,6,2026-01-15 02:59:00,5.74,13133,UK
536121,84406B,CREAM CUPID HEARTS COAT HANGER,6,2026-01-07 11:06:00,1.18,16112,UK
536122,85123A,WHITE HANGING HEART T-LIGHT HOLDER,39,2026-01-11 20:55:00,8.93,17717,UK
536123,71053,WHITE METAL LANTERN,50,2026-01-08 21:10:00,9.0,14802,Italy
536124,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2026-01-25 20:03:00,2.41,13887,UK
536125,22633,HAND WARMER UNION JACK,42,2026-01-21 22:35:00,7.04,14682,France
536126,84406B,CREAM CUPID HEARTS COAT HANGER,4,2026-01-22 20:42:00,1.43,17740,Germany
536127,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,17,2026-01-25 15:05:00,3.52,13570,Spain
536128,84406B,CREAM CUPID HEARTS COAT HANGER,13,2026-01-15 18:57:00,2.5,12168,UK
536129,84406B,CREAM CUPID HEARTS COAT HANGER,41,2026-01-02 00:43:00,1.41,14141,Italy
536130,22633,HAND WARMER UNION JACK,27,2026-01-13 15:15:00,6.48,15498,Germany
536131,22633,HAND WARMER UNION JACK,31,2026-01-21 07:54:00,2.39,12527,Spain
536132,22633,HAND WARMER UNION JACK,41,2026-01-19 00:57:00,7.4,12903,Germany
536133,85123A,WHITE HANGING HEART T-LIGHT HOLDER,50,2026-01-04 05:14:00,7.61,15964,Spain
536134,71053,WHITE METAL LANTERN,34,2026-01-23 21:17:00,5.08,14123,Germany
536135,71053,WHITE METAL LANTERN,19,2026-01-01 17:50:00,2.43,12176,Spain
536136,22633,HAND WARMER UNION JACK,19,2026-01-07 22:30:00,7.32,13908,UK
536137,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,43,2026-01-01 17:52:00,3.77,16376,UK
536138,22633,HAND WARMER UNION JACK,33,2026-01-24 06:59:00,1.54,15859,Italy
536139,22633,HAND WARMER UNION JACK,45,2026-01-26 03:18:00,9.2,16213,Italy
536140,84406B,CREAM CUPID HEARTS COAT HANGER,2,2026-01-09 10:57:00,4.14,13192,Italy
536141,71053,WHITE METAL LANTERN,32,2026-01-20 03:58:00,8.88,16599,Spain
536142,71053,WHITE METAL LANTERN,16,2026-01-07 22:53:00,1.29,14084,Spain
536143,22633,HAND WARMER UNION JACK,3,2026-01-25 03:36:00,4.9,16805,Spain
536144,22633,HAND WARMER UNION JACK,29,2026-01-07 12:37:00,1.73,14390,France
536145,22633,HAND WARMER UNION JACK,20,2026-01-16 02:23:00,6.09,17862,Germany
536146,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,49,2026-01-15 04:06:00,8.62,14896,Spain
536147,22633,HAND WARMER UNION JACK,20,2026-01-18 09:46:00,1.93,12203,Italy
536148,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2026-01-06 04:39:00,2.69,13415,Germany
536149,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,2026-01-24 06:19:00,8.15,17838,Spain
536150,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,45,2026-01-13 00:05:00,6.19,17961,France
536151,22633,HAND WARMER UNION JACK,41,2026-01-15 10:07:00,9.81,15338,Germany
536152,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,12,2026-01-03 00:20:00,9.25,17057,Germany
536153,84406B,CREAM CUPID HEARTS COAT HANGER,37,2026-01-17 08:35:00,8.26,14101,Italy
536154,22633,HAND WARMER UNION JACK,43,2026-01-23 14:42:00,8.89,17566,UK
536155,22633,HAND WARMER UNION JACK,41,2026-01-19 19:59:00,8.09,15620,France
536156,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,26,2026-01-09 14:31:00,8.44,13310,UK
536157,85123A,WHITE HANGING HEART T-LIGHT HOLDER,28,2026-01-05 23:25:00,5.45,16604,UK
536158,22633,HAND WARMER UNION JACK,18,2026-01-02 19:32:00,6.26,17450,UK
536159,22633,HAND WARMER UNION JACK,41,2026-01-14 18:43:00,6.57,16675,Italy
536160,71053,WHITE METAL LANTERN,24,2026-01-08 22:51:00,7.94,13711,UK
536161,22633,HAND WARMER UNION JACK,24,2026-01-25 22:07:00,8.53,16578,Spain
536162,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14,2026-01-07 07:24:00,8.98,15507,Spain
536163,22633,HAND WARMER UNION JACK,38,2026-01-04 09:14:00,9.12,16380,France
536164,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2026-01-17 19:03:00,5.07,13305,France
536165,85123A,WHITE HANGING HEART T-LIGHT HOLDER,34,2026-01-15 16:42:00,7.26,13691,UK
536166,84406B,CREAM CUPID HEARTS COAT HANGER,46,2026-01-25 10:35:00,4.31,13335,Spain
536167,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,31,2026-01-11 16:14:00,2.52,16652,Italy
536168,71053,WHITE METAL LANTERN,14,2026-01-19 03:44:00,3.26,16977,Spain
536169,22633,HAND WARMER UNION JACK,21,2026-01-13 13:20:00,6.37,12446,UK
536170,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,43,2026-01-03 14:45:00,8.6,16086,Italy
536171,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,2026-01-05 08:30:00,8.07,16559,Germany
536172,22633,HAND WARMER UNION JACK,34,2026-01-25 14:23:00,9.04,15778,Germany
536173,22633,HAND WARMER UNION JACK,20,2026-01-04 08:39:00,1.23,14048,Germany
536174,22633,HAND WARMER UNION JACK,42,2026-01-17 14:14:00,1.71,17292,UK
536175,84406B,CREAM CUPID HEARTS COAT HANGER,31,2026-01-06 05:22:00,8.36,14085,France
536176,85123A,WHITE HANGING HEART T-LIGHT HOLDER,23,2026-01-10 15:53:00,1.84,15640,UK
536177,71053,WHITE METAL LANTERN,18,2026-01-04 14:06:00,6.56,17190,Italy
536178,85123A,WHITE HANGING HEART T-LIGHT HOLDER,15,2026-01-14 08:21:00,3.15,13370,Spain
536179,22633,HAND WARMER UNION JACK,7,2026-01-16 17:55:00,2.86,16976,Italy
536180,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2026-01-25 23:59:00,2.77,12324,UK
536181,84406B,CREAM CUPID HEARTS COAT HANGER,13,2026-01-03 09:33:00,8.4,17584,Germany
536182,22633,HAND WARMER UNION JACK,14,2026-01-02 15:07:00,1.57,16866,Germany
536183,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2026-01-15 12:53:00,1.1,12113,France
536184,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,48,2026-01-24 09:05:00,6.93,17641,Italy
536185,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,27,2026-01-24 09:13:00,4.5,12338,France
536186,84406B,CREAM CUPID HEARTS COAT HANGER,46,2026-01-19 03:16:00,5.81,12421,Germany
536187,71053,WHITE METAL LANTERN,2,2026-01-05 01:19:00,1.64,13099,UK
536188,85123A,WHITE HANGING HEART T-LIGHT HOLDER,38,2026-01-20 13:08:00,8.35,17043,Germany
536189,71053,WHITE METAL LANTERN,22,2026-01-04 09:42:00,2.03,17111,UK
536190,71053,WHITE METAL LANTERN,9,2026-01-08 20:07:00,4.86,14704,France
536191,71053,WHITE METAL LANTERN,16,2026-01-19 16:07:00,6.69,13141,Germany
536192,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,44,2026-01-25 00:42:00,7.07,12822,Spain
536193,71053,WHITE METAL LANTERN,18,2026-01-21 03:54:00,9.04,13235,Italy
536194,84406B,CREAM CUPID HEARTS COAT HANGER,22,2026-01-19 17:11:00,5.29,12950,France
536195,22633,HAND WARMER UNION JACK,10,2026-01-19 17:47:00,4.29,12611,Spain
536196,84406B,CREAM CUPID HEARTS COAT HANGER,34,2026-01-23 22:56:00,8.46,17678,France
536197,22633,HAND WARMER UNION JACK,10,2026-01-19 15:37:00,3.97,17054,Germany
536198,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,2026-01-21 20:23:00,4.75,14688,Germany
536199,22633,HAND WARMER UNION JACK,22,2026-01-10 20:09:00,1.21,14362,UK
536200,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,2026-01-18 22:17:00,5.7,17986,Italy
536201,84406B,CREAM CUPID HEARTS COAT HANGER,20,2026-01-06 08:42:00,7.02,17699,UK
536202,71053,WHITE METAL LANTERN,21,2026-01-07 03:13:00,2.12,14622,UK
536203,84406B,CREAM CUPID HEARTS COAT HANGER,15,2026-01-22 07:34:00,6.18,14525,Germany
536204,84406B,CREAM CUPID HEARTS COAT HANGER,9,2026-01-17 22:09:00,4.46,12447,France
536205,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14,2026-01-04 19:48:00,8.2,17475,Italy
536206,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2026-01-06 08:16:00,8.86,15455,France
536207,71053,WHITE METAL LANTERN,30,2026-01-14 16:38:00,9.01,17779,UK
536208,71053,WHITE METAL LANTERN,29,2026-01-04 17:14:00,7.97,13243,UK
536209,71053,WHITE METAL LANTERN,32,2026-01-02 08:23:00,6.92,12964,Spain
536210,85123A,WHITE HANGING HEART T-LIGHT HOLDER,46,2026-01-18 14:04:00,5.69,17745,Spain
536211,71053,WHITE METAL LANTERN,14,2026-01-17 23:38:00,1.49,14286,Italy
536212,22633,HAND WARMER UNION JACK,44,2026-01-17 09:35:00,4.25,12648,Italy
536213,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,31,2026-01-23 01:32:00,4.5,17281,Germany
536214,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2026-01-11 07:13:00,9.02,12932,Italy
536215,84406B,CREAM CUPID HEARTS COAT HANGER,13,2026-01-22 00:59:00,4.09,12160,UK
536216,84406B,CREAM CUPID HEARTS COAT HANGER,28,2026-01-19 13:09:00,9.08,12770,Germany
536217,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2026-01-22 14:03:00,8.11,12484,France
536218,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,47,2026-01-14 00:56:00,9.96,12730,Spain
536219,85123A,WHITE HANGING HEART T-LIGHT HOLDER,27,2026-01-07 01:04:00,1.98,16806,UK
536220,84406B,CREAM CUPID HEARTS COAT HANGER,50,2026-01-02 13:58:00,2.61,12617,Italy
536221,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2026-01-24 11:17:00,2.13,12541,Spain
536222,71053,WHITE METAL LANTERN,26,2026-01-21 08:58:00,2.88,16432,France
536223,85123A,WHITE HANGING HEART T-LIGHT HOLDER,37,2026-01-03 15:39:00,6.06,14291,Italy
536224,84406B,CREAM CUPID HEARTS COAT HANGER,32,2026-01-08 15:46:00,6.58,15305,France
536225,85123A,WHITE HANGING HEART T-LIGHT HOLDER,35,2026-01-02 02:13:00,6.5,12870,Italy
536226,71053,WHITE METAL LANTERN,42,2026-01-13 17:18:00,1.01,12537,France
536227,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,29,2026-01-24 07:11:00,9.42,15727,Italy
536228,84406B,CREAM CUPID HEARTS COAT HANGER,3,2026-01-22 10:15:00,9.14,15442,UK
536229,84406B,CREAM CUPID HEARTS COAT HANGER,41,2026-01-13 02:56:00,4.51,15382,Spain
536230,22633,HAND WARMER UNION JACK,34,2026-01-18 22:38:00,6.56,16044,UK
536231,71053,WHITE METAL LANTERN,33,2026-01-12 03:22:00,2.57,17218,Germany
536232,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,2026-01-26 05:51:00,8.27,12113,Italy
536233,84406B,CREAM CUPID HEARTS COAT HANGER,43,2026-01-06 00:35:00,5.04,17434,Italy
536234,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,2026-01-16 11:56:00,2.29,12009,France
536235,22633,HAND WARMER UNION JACK,23,2026-01-22 02:25:00,2.33,15652,Spain
536236,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,7,2026-01-12 21:48:00,2.28,12756,France
536237,84406B,CREAM CUPID HEARTS COAT HANGER,29,2026-01-24 13:01:00,1.42,16835,Italy
536238,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2026-01-16 20:53:00,8.05,12671,Germany
536239,22633,HAND WARMER UNION JACK,31,2026-01-23 17:15:00,8.72,12169,Italy
536240,84406B,CREAM CUPID HEARTS COAT HANGER,25,2026-01-23 03:19:00,3.55,17686,Italy
536241,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2026-01-22 12:09:00,8.58,15450,UK
536242,22633,HAND WARMER UNION JACK,2,2026-01-10 08:53:00,1.02,12328,Germany
536243,85123A,WHITE HANGING HEART T-LIGHT HOLDER,30,2026-01-18 07:40:00,5.42,16621,Spain
536244,85123A,WHITE HANGING HEART T-LIGHT HOLDER,47,2026-01-12 14:53:00,6.15,16425,Germany
536245,85123A,WHITE HANGING HEART T-LIGHT HOLDER,50,2026-01-09 05:31:00,5.32,16910,France
536246,85123A,WHITE HANGING HEART T-LIGHT HOLDER,16,2026-01-14 21:29:00,1.97,13710,Spain
536247,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2026-01-14 21:32:00,3.27,14833,Germany
536248,71053,WHITE METAL LANTERN,41,2026-01-12 12:30:00,7.17,14313,UK
536249,22633,HAND WARMER UNION JACK,38,2026-01-07 16:54:00,8.07,14262,Spain
536250,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,23,2026-01-12 01:48:00,1.48,14173,Germany
536251,71053,WHITE METAL LANTERN,19,2026-01-06 10:42:00,4.09,16023,Spain
536252,84406B,CREAM CUPID HEARTS COAT HANGER,10,2026-01-08 19:13:00,6.14,17854,UK
536253,85123A,WHITE HANGING HEART T-LIGHT HOLDER,30,2026-01-06 21:20:00,1.23,16409,France
536254,71053,WHITE METAL LANTERN,20,2026-01-09 01:14:00,7.72,12275,Italy
536255,84406B,CREAM CUPID HEARTS COAT HANGER,47,2026-01-16 22:22:00,7.71,17920,Germany
536256,71053,WHITE METAL LANTERN,28,2026-01-19 06:28:00,4.49,15713,Italy
536257,71053,WHITE METAL LANTERN,19,2026-01-26 02:17:00,8.08,16271,Spain
536258,84406B,CREAM CUPID HEARTS COAT HANGER,4,2026-01-02 02:03:00,4.71,13312,France
536259,71053,WHITE METAL LANTERN,33,2026-01-01 15:08:00,8.86,17404,France
536260,85123A,WHITE HANGING HEART T-LIGHT HOLDER,37,2026-01-11 11:30:00,4.62,13023,UK
536261,84406B,CREAM CUPID HEARTS COAT HANGER,12,2026-01-01 11:10:00,5.75,15072,Spain
536262,71053,WHITE METAL LANTERN,39,2026-01-02 22:39:00,3.53,12340,UK
536263,84406B,CREAM CUPID HEARTS COAT HANGER,3,2026-01-05 22:21:00,3.37,13202,France
536264,84406B,CREAM CUPID HEARTS COAT HANGER,33,2026-01-19 08:06:00,4.13,13059,Italy
536265,22633,HAND WARMER UNION JACK,50,2026-01-20 22:21:00,9.94,13686,France
536266,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2026-01-05 21:19:00,7.11,15980,Spain
536267,84406B,CREAM CUPID HEARTS COAT HANGER,48,2026-01-06 23:33:00,8.54,12512,UK
536268,71053,WHITE METAL LANTERN,18,2026-01-11 22:53:00,7.28,16255,Spain
536269,84406B,CREAM CUPID HEARTS COAT HANGER,35,2026-01-09 12:37:00,4.63,15752,France
536270,22633,HAND WARMER UNION JACK,34,2026-01-22 19:53:00,7.85,13279,Germany
536271,85123A,WHITE HANGING HEART T-LIGHT HOLDER,28,2026-01-20 16:00:00,9.36,14813,Germany
536272,85123A,WHITE HANGING HEART T-LIGHT HOLDER,17,2026-01-14 10:35:00,3.62,16936,UK
